champion,timestamp,model_choice,modelChaos,modelSize
Duke,2020-05-06 21:58:43.288396,classic,0,partial
Virginia,2020-05-06 22:00:50.337028,classic,0,partial
Michigan,2020-05-06 22:00:52.249833,classic,0,partial
Virginia,2020-05-06 22:00:53.790710,classic,0,partial
Duke,2020-05-06 22:01:38.485930,classic,0,partial
Virginia,2020-05-06 22:05:36.426401,classic,0,partial
Virginia,2020-05-06 22:07:00.232795,classic,0,partial
Virginia,2020-05-06 22:07:55.277210,classic,0,partial
Michigan St.,2020-05-06 22:07:57.505944,classic,0,partial
Virginia,2020-05-06 22:10:03.953696,classic,0,partial
Virginia,2020-05-07 13:05:56.156966,modern,0,partial
Michigan,2020-05-07 13:06:14.767644,modern,0,partial
Duke,2020-05-07 13:13:11.104876,classic,0,partial
Duke,2020-05-07 13:17:01.717005,classic,0,partial
Michigan,2020-05-07 13:17:55.621229,classic,0,partial
Michigan St.,2020-05-07 13:19:03.127821,classic,0,partial
Michigan St.,2020-05-07 13:19:30.542777,classic,0,partial
Duke,2020-05-07 13:28:52.001918,modern,0,partial
Virginia,2020-05-07 13:29:13.180692,modern,0,partial
Virginia,2020-05-07 13:29:28.189988,modern,0,partial
Virginia,2020-05-07 13:30:28.659791,modern,0,partial
North Carolina,2020-05-07 13:36:43.749280,modern,0,partial
Virginia,2020-05-07 13:36:54.470950,modern,0,partial
Virginia,2020-05-07 13:38:36.836215,modern,0,partial
Duke,2020-05-07 13:38:59.370247,modern,0,partial
Virginia,2020-05-07 13:39:18.938238,modern,0,partial
Virginia,2020-05-07 13:40:55.221604,modern,0,partial
Virginia,2020-05-07 13:41:09.540499,modern,0,partial
Virginia,2020-05-07 13:41:18.655627,modern,0,partial
Duke,2020-05-07 13:41:38.219839,modern,0,partial
Duke,2020-05-07 13:42:25.964363,modern,0,partial
Duke,2020-06-04 22:10:15.129601,classic,0,partial
Duke,2020-06-04 22:10:56.517620,classic,0,partial
Virginia,2020-06-08 12:14:43.939912,classic,0,partial
