team_id,seed,team,teamsim,KenTeamAdjEM,KenTeamAdjO,KenTeamAdjD,KenTeamAdjT,KenTeamLuck,KenTeamOppAdjEM,KenTeamOppO,KenTeamOppD,KenTeamOppNCAdjEM
101,West16a,Fairleigh Dickinson,,-4.25,106.2,110.4,66.8,0.01,-8.75,98.7,107.4,-1.51
102,East16a,North Dakota St.,,-3.2,106.6,109.8,64.8,0.052,-3.07,104.5,107.6,3.73
103,East11a,Belmont,,13.07,114.8,101.8,71.1,0.041,-3.23,102.7,105.9,3.44
104,West11a,St. John's,,8.75,109.7,100.9,70.5,0.071,5.92,107,101.1,-6.09
105,South1,Virginia,,35.66,123.6,87.9,59.3,0.024,10.51,108.4,97.9,-2.82
106,South8,Mississippi,,15.08,112.8,97.7,68.3,-0.018,8.69,108.8,100.1,-0.78
107,South5,Wisconsin,,23.68,110.8,87.1,63.6,-0.026,13.57,110.3,96.8,3.56
108,South4,Kansas St.,,20.22,108,87.7,63,0.061,10.05,109,99,-0.5
109,South6,Villanova,,18.77,117,98.2,63.6,0.017,8.22,108.4,100.2,3.63
110,South3,Purdue,,26.05,121.1,95,65.6,-0.012,13.04,109.7,96.7,4.33
111,South7,Cincinnati,,17.05,111.6,94.5,63.2,0.06,4.2,106.3,102.1,-2.63
112,South2,Tennessee,,26.98,122.5,95.5,67.7,0.038,10.58,109,98.5,1.36
113,West8,Syracuse,,16.3,110.2,93.9,66.1,0.005,10.06,108.5,98.5,0.49
114,West5,Marquette,,18.42,114.2,95.7,68.6,0.007,7.65,107.5,99.9,0.79
115,West4,Florida St.,,22.56,113,90.4,68.3,0.045,10.71,109.5,98.8,1.1
117,West3,Texas Tech,,26.75,112.7,85.9,66.5,0.004,8.31,107.8,99.5,-5.02
118,West7,Nevada,,18.92,114,95.1,69.2,0.039,1.38,105.2,103.8,1.99
119,West2,Michigan,,29.44,115.5,86.1,64.4,-0.014,11.65,109.3,97.6,-4.94
120,East8,VCU,,15.69,104.3,88.6,68.2,0.004,1.15,105,103.8,3.5
121,East5,Mississippi St.,,20.68,117.4,96.7,67.4,-0.027,10.46,110,99.6,2.49
122,East4,Virginia Tech,,24.47,118.4,94,63.3,0.002,8.61,108.1,99.5,-6.04
123,East3,LSU,,20.97,118.5,97.5,69.9,0.035,9.49,108.6,99.1,3.09
124,East7,Louisville,,20.97,113.4,92.4,67.1,-0.054,13,110.6,97.6,6.05
125,East2,Michigan St.,,31.36,121.7,90.4,67.4,-0.007,13.57,110.2,96.7,3.15
126,Midwest1,North Carolina,,29.17,119.9,90.7,74.3,0.024,13.68,110.8,97.1,5.77
127,Midwest8,Utah St.,,16.62,113,96.3,67.8,0.007,0.01,104.3,104.3,1.14
128,Midwest5,Auburn,,23.33,119.6,96.2,67.5,0.003,10.89,109.6,98.7,2.81
