game_id,game_title,sub_title,game_system,genre,now_playing,game_status,game_hours,game_minutes,playtime_calc,a_add_date,b_start_date,c_beat_date,d_complete_date,game_notes
D0001,RollerCoaster Tycoon,Corkscrew Follies,PC,Simulation,N,Beaten,,,,,,,,DELUXE.
D0002,RollerCoaster Tycoon,Loopy Landscapes,PC,Simulation,N,Beaten,,,,,,,,
D0003,StarCraft,Broodwar,PC,Real-time strategy,N,Completed,,,,,,,,
D0004,Call of Duty: Black Ops,First Strike,360,FPS,N,Beaten,,,,,,,,
D0005,Call of Duty: Black Ops II,Revolution,360,FPS,N,Beaten,,,,,,,,
D0006,Call of Duty: Black Ops II,Uprising,360,FPS,N,Beaten,,,,,,,,
D0007,DiRT 3,Monte Carlo Track Pack,360,Racing,N,Completed,,,,,,,,
D0008,DiRT 3,Mud and Guts Car Pack,360,Racing,N,Completed,,,,,,,,
D0009,DiRT 3,Power and Glory Car Pack,360,Racing,N,Completed,,,,,,,,
D0010,DiRT 3,Shibuya Track Pack,360,Racing,N,Completed,,,,,,,,
D0011,Sonic Adventure DX: Director's Cut,Sonic Adventure DX Upgrade,XBLA,Platformer,N,Infinite,,,,,,,,Null until Microsoft/SEGA fixes it (probably never).
D0012,Trials Evolution,Origin of Pain,XBLA,Racing,N,Beaten,,,,,,,,
D0013,Trials Evolution,Riders of Doom,XBLA,Racing,N,Beaten,,,,,,,,
D0014,Borderlands 2,Captain Scarlett and Her Pirate's Booty,360,FPS,N,Completed,,,,,,,,Done on UVHM!
D0015,Borderlands 2,Mr. Torgue's Campaign of Carnage,360,FPS,N,Completed,,,,,,,,Hey Moxxi.
D0016,Borderlands 2,Sir Hammerlock's Big Game Hunt,360,FPS,N,Completed,,,,,,,,Completed.
D0017,Borderlands 2,Tiny Tina's Assault on Dragon Keep,360,FPS,N,Completed,,,,,,,,TVHM.
D0018,Burnout Paradise: The Ultimate Box,Bikes Pack,Steam,Racing,N,Beaten,,,,,,,,2% complete.
D0019,RESOGUN,Construction Kit,PS4,Shoot 'em up,N,Beaten,,,,,,,,
