id,gameTitle,subTitle,gameSystem,nowPlaying,gameStatus,gameHours,gameMinutes,addDate,startDate,beatDate,completeDate,gameNotes
1,Time Crisis 2,,ARC,N,Completed,,,,,,,"Played through the entire game (with quarters!) Back in the late 90s as an 8 year old, myself, a fellow 3rd grade friend, and two of our summer camp junior counselors played through this game all the way at the arcade, rotating 2-and-2 when we died...just for the quality of the experience back then, this game gets 5 stars."
2,Guild Wars 2,,PC,N,Infinite,,,,,,,
3,MapleStory,,PC,N,Infinite,4156,0,,,,,"My most played game. 2156 hours tracked via Xfire, estimated 2000 more before/after the Xfire days."
4,Need for Speed II,,PC,N,Completed,,,,,,7/10/2013,
5,RollerCoaster Tycoon,,PC,N,Beaten,,,,,7/10/2013,,
6,StarCraft,,PC,N,Completed,,,,,,2/15/2013,
7,Dr. Mario,,NES,N,Infinite,,,,,,,
8,Excitebike,,NES,N,Infinite,,,,,,,
9,Ivan 'Ironman' Stewart's Super Off Road,,NES,N,Completed,,,,,,,
10,Kirby's Adventure,,NES,N,Completed,,,,,,,
11,Marble Madness,,NES,N,Completed,,,,,,,
12,Super Mario Bros.,,NES,N,Completed,,,,,,,
13,Dr. Robotnik's Mean Bean Machine,,GEN,N,Beaten,,,,,,,
14,Sonic 3D Blast,,GEN,N,Completed,,,,,,6/28/2013,
15,Sonic Spinball,,GEN,N,Completed,,,,,,,
16,Sonic the Hedgehog,,GEN,N,Beaten,,,,,,,
17,Sonic the Hedgehog 2,,GEN,N,Completed,,,,,,,
18,1080 Snowboarding,,N64,N,Completed,,,,,,,
19,Beetle Adventure Racing!,,N64,N,Completed,,,,,,,
20,Diddy Kong Racing,,N64,N,Completed,,,,,,,
21,Madden '99,,N64,N,Beaten,,,,,,,
22,Mario Golf,,N64,N,Completed,,,,,,,
23,Mario Kart 64,,N64,N,Completed,,,,,,,
24,Mario Party,,N64,N,Completed,,,,,,,
25,Mario Tennis,,N64,N,Beaten,,,,,,,
26,Mischief Makers,,N64,N,Beaten,,,,,,,
27,Off Road Challenge,,N64,N,Completed,,,,,,,
28,Paper Mario,,N64,N,Beaten,,,,,,,
29,Pokemon Snap,,N64,N,Completed,,,,,,,
30,Pokemon Stadium,,N64,N,Beaten,,,,,,,
31,Star Fox 64,,N64,N,Completed,,,,,,,
32,Super Mario 64,,N64,N,Completed,,,,,,,
33,The Legend of Zelda: Ocarina of Time,,N64,N,Beaten,,,,,,,
34,Wave Race 64,,N64,N,Completed,,,,,,,
35,Yoshi's Story,,N64,N,Beaten,,,,,,,
36,Bugs Bunny in Double Trouble,,GG,N,Completed,,,,,,,
37,Ms. PAC-MAN,,GG,N,Infinite,,,,,,,
38,Sonic 2,,GG,N,Beaten,,,,,,,
39,Sonic Chaos,,GG,N,Beaten,,,,,,,
40,Sonic Labyrinth,,GG,N,Completed,,,,,,5/29/2014,
