id,gameTitle,gameSystem,nowPlaying,gameStatus,gameHours,gameMinutes,gameNotes,gameADate,gameSDate,gameBDate,gameCDate
1,Time Crisis 2,ARC,N,C,,,"Played through the entire game (with quarters!) Back in the late 90s as an 8 year old, myself, a fellow 3rd grade friend, and two of our summer camp junior counselors played through this game all the way at the arcade, rotating 2-and-2 when we died...just for the quality of the experience back then, this game gets 5 stars.",,,,
4,Need for Speed II,PC,N,C,,,,,,,2013-07-10
603,Call of Duty: Black Ops 4,XB1,Y,B,,,It's in the tray.,2018-10-28,2018-10-30,2018-10-30,
604,Forza Horizon 2,XB1,N,B,,,Terrible event structure.,2018-10-29,2018-10-31,2018-11-05,
606,Gravel,XB1,N,C,,,Gravely.,2018-11-21,2018-11-24,2018-11-24,2018-11-25
607,Okami HD,Switch,N,N,,0,,2018-11-23,,,
609,Gears of War 4,XB1,N,B,,,,2018-12-03,2018-12-03,2018-12-05,
610,Super Smash Bros. Ultimate,Switch,Y,S,,0,,2018-12-16,2018-12-16,,
611,Cities: Skylines,Steam,N,I,,,,2018-12-20,,,
612,Momodora: Reverie Under the Moonlight,Steam,N,N,,,,2018-12-20,,,
613,TINY METAL,Steam,N,N,,,,2018-12-20,,,
614,"Pokemon: Let''s Go, Pikachu!",Switch,N,C,,0,,2018-12-28,2018-12-28,2019-01-03,2019-01-06
615,Octopath Traveler,Switch,N,N,,,,2019-01-09,,,
616,Puyo Puyo Tetris,Switch,N,N,,,,2019-01-09,,,
617,Sonic Mania,Switch,N,N,,,,2019-01-09,,,
618,Tetris 99,Switch,Y,I,,,First win on 2/18.,2019-02-13,2019-02-13,2019-02-18,
620,Super Mario Odyssey,Switch,N,N,0,0,"",,,,
621,A Hat in Time,Steam,N,N,,,"",2019-04-30,,,
608,Crash Bandicoot N. Sane Trilogy,XB1,Y,S,,,Crash!,2018-11-29,2019-05-16,,
619,DiRT Rally 2.0,XB1,N,C,,,"",2019-02-26,2019-02-26,2019-03-16,2019-05-23
626,Tetris Effect,PS4,N,N,,,"",2019-06-07,,,
11,Marble Madness,NES,N,C,,,,,,,
12,Super Mario Bros.,NES,N,C,,,,,,,
13,Dr. Robotnik's Mean Bean Machine,GEN,N,B,,,,,,,
14,Sonic 3D Blast,GEN,N,C,,,,,,,2013-06-28
15,Sonic Spinball,GEN,N,C,,,,,,,
16,Sonic the Hedgehog,GEN,N,B,,,,,,,
17,Sonic the Hedgehog 2,GEN,N,C,,,,,,,
18,1080 Snowboarding,N64,N,C,,,,,,,
19,Beetle Adventure Racing!,N64,N,C,,,,,,,
20,Diddy Kong Racing,N64,N,C,,,,,,,
21,Madden '99,N64,N,B,,,,,,,
22,Mario Golf,N64,N,C,,,,,,,
