id,gameTitle,gameSystem,DLCTitle,DLCStatus,DLCNotes,DLCADate,DLCSDate,DLCBDate,DLCCDate,gameid_id
1,RollerCoaster Tycoon,PC,Corkscrew Follies,B,DELUXE.,,,,,5
2,RollerCoaster Tycoon,PC,Loopy Landscapes,B,,,,,,5
3,StarCraft,PC,Broodwar,C,,,,,,6
4,Call of Duty: Black Ops,360,First Strike,B,,,,,,240
5,Call of Duty: Black Ops II,360,Revolution,B,,,,,,241
6,Call of Duty: Black Ops II,360,Uprising,B,,,,,,241
7,DiRT 3,360,Monte Carlo Track Pack,C,,,,,,247
8,DiRT 3,360,Mud and Guts Car Pack,C,,,,,,247
9,DiRT 3,360,Power and Glory Car Pack,C,,,,,,247
10,DiRT 3,360,Shibuya Track Pack,C,,,,,,247
11,Sonic Adventure DX: Director's Cut,XBLA,Sonic Adventure DX Upgrade,I,Null until Microsoft/SEGA fixes it (probably never).,,,,,263
12,Trials Evolution,XBLA,Origin of Pain,B,,,,,,327
13,Trials Evolution,XBLA,Riders of Doom,B,,,,,,327
14,Borderlands 2,360,Captain Scarlett and Her Pirate's Booty,C,Done on UVHM!,,,,,329
15,Borderlands 2,360,Mr. Torgue's Campaign of Carnage,C,Hey Moxxi.,,,,,329
16,Borderlands 2,360,Sir Hammerlock's Big Game Hunt,C,Completed.,,,,,329
17,Borderlands 2,360,Tiny Tina's Assault on Dragon Keep,C,TVHM.,,,,,329
18,Burnout Paradise: The Ultimate Box,Steam,Bikes Pack,B,2% complete.,,,,,343
19,RESOGUN,PS4,Construction Kit,B,,,,,,369
20,RESOGUN,PS4,Heroes,B,,,,,,369
21,Trials Fusion,PS4,Empire of the Sky,B,"Ugh, extreme.",,,,,370
22,Trials Fusion,PS4,Riders of the Rustlands,B,,,,,,370
23,Overlord,Steam,Raising Hell,I,Came with DiRT Humble Bundle. Never going to play. :P,,,,,375
24,Diablo II,PC,Lord of Destruction,B,Nightmare.,,,,,381
25,Diablo III,BNet,Reaper of Souls,B,54% of achievements.,,,,,383
26,DRIVECLUB,PS4,All Stars,C,,,,,,412
27,DRIVECLUB,PS4,AMG,C,,,,,,412
28,DRIVECLUB,PS4,Apex,C,,,,,,412
29,DRIVECLUB,PS4,Downforce,C,,,,,,412
30,DRIVECLUB,PS4,Elements,C,,,,,,412
31,DRIVECLUB,PS4,Evolution,C,,,,,,412
32,DRIVECLUB,PS4,Horsepower,C,,,,,,412
33,DRIVECLUB,PS4,Ignition,C,Too easy.,,,,,412
34,DRIVECLUB,PS4,Lamborghini,C,,,,,,412
39,DRIVECLUB,PS4,Redline,C,,,,,,412
35,DRIVECLUB,PS4,Lamborghini Icons,C,,,,,,412
36,DRIVECLUB,PS4,Midnight,C,,,,,,412
37,DRIVECLUB,PS4,Pacesetter,C,,,,,,412
38,DRIVECLUB,PS4,Photo-Finish,C,,,,,,412
40,DRIVECLUB,PS4,RPM,C,,,,,,412
41,DRIVECLUB,PS4,Sakura,C,,,,,,412
42,DRIVECLUB,PS4,Torque,C,,,,,,412
43,DRIVECLUB,PS4,Turbocharged,C,,,,,,412
44,DRIVECLUB,PS4,Unite In Speed,C,,,,,,412
45,DRIVECLUB,PS4,Velocity,C,,,,,,412
46,Peggle 2,PS4,Jimmy Lightning Master Pack,C,,,,,,417
47,Peggle 2,PS4,Windy the Fairy Master Pack,C,,,,,,417
48,Burnout Paradise Remastered,PS4,Big Surf Island,C,,2018-04-28,2018-05-20,2018-05-27,2018-05-27,589
49,Burnout Paradise Remastered,PS4,Bikes Pack,C,,2018-04-28,2018-05-27,2018-05-30,2018-05-30,589
50,Burnout Paradise Remastered,PS4,Boost Specials,C,,2018-04-28,2018-05-27,2018-05-27,2018-05-27,589
51,Burnout Paradise Remastered,PS4,Cagney Update,C,,2018-04-28,2018-05-13,2018-05-13,2018-05-20,589
52,Burnout Paradise Remastered,PS4,Cops and Robbers,C,,2018-04-28,2018-05-19,2018-05-19,2018-05-19,589
53,Burnout Paradise Remastered,PS4,Legendary Cars,C,,2018-04-28,2018-05-19,2018-05-20,2018-05-20,589
54,Burnout Paradise Remastered,PS4,Party Pack,C,,2018-04-28,2018-05-20,2018-05-27,2018-05-27,589
55,Burnout Paradise Remastered,PS4,Toy Cars,C,,2018-04-28,2018-05-27,2018-05-27,2018-05-27,589
